"name","team_name","group","appearances","goals","assists","minutes","total_contributions","contributions_per_90","efficiency_score"
"Joaqu?n Piquerez","Uruguay","H","19","0","2","1372","2","0.13","0.1"
"Juan Manuel Sanabria","Uruguay","H","31","3","8","2465","11","0.4","0.35"
"Mat?as Vi?a","Uruguay","H","13","0","0","792","0","0.0","0.0"
"Jos? Luis Rodr?guez","Uruguay","H","23","5","3","1748","8","0.41","0.35"
"Guillermo Varela","Uruguay","H","22","0","3","1749","3","0.15","0.13"
"Manuel Ugarte","Uruguay","H","27","0","0","1272","0","0.0","0.0"
"Emiliano Mart?nez","Uruguay","H","19","0","0","698","0","0.0","0.0"
"Nicol?s Fonseca","Uruguay","H","33","0","0","2033","0","0.0","0.0"
"Federico Valverde","Uruguay","H","50","10","13","4248","23","0.49","0.46"
"Nicol?s de la Cruz","Uruguay","H","19","1","1","561","2","0.32","0.1"
"Giorgian de Arrascaeta","Uruguay","H","26","10","5","1763","15","0.77","0.58"
"Brian Rodr?guez","Uruguay","H","44","13","7","2793","20","0.64","0.45"
"Agust?n Canobbio","Uruguay","H","24","4","1","1891","5","0.24","0.21"
